Dish,Indian,Mexican,Chinese,American,Mediterranean,Japanese,Thai,Italian
Perogies,0,0,0,1,0,0,0,0
Shak,1,0,0,0,0,0,0,0
Pilaf,2,0,0,0,2,0,0,0
Jamun,1,0,0,0,0,0,0,0
Classic,0,0,1,2,1,0,1,5
Margaritas,0,3,0,0,0,0,0,0
Coq,0,0,0,0,0,0,0,1
Stroganoff,0,0,0,1,0,0,0,0
Maach,1,0,0,0,0,0,0,0
Bucatini,0,0,0,0,0,0,0,1
Jeera,2,0,0,0,0,0,0,0
Dish,0,0,0,0,2,0,0,0
Wan,0,0,0,0,0,0,1,0
Don,0,0,0,0,0,2,0,0
Kris,0,1,0,0,0,0,0,0
Zydeco,0,0,0,1,0,0,0,0
Mama,0,0,0,0,0,0,0,2
Kabobs,0,1,0,1,0,0,0,0
Fa,0,0,1,0,0,0,0,0
Sukiyaki,0,0,0,0,0,6,0,0
Tsukune,0,0,0,0,0,1,0,0
Worlds,0,0,0,0,0,0,0,2
Halloumi,0,0,0,0,1,0,0,0
ThaiDipped,0,0,0,0,0,0,1,0
Pepperoni,0,0,0,0,0,0,0,3
Quinoa,5,2,0,0,4,1,0,0
ThaiInspired,0,0,0,0,0,0,1,0
Medley,0,0,0,0,2,0,0,0
Ziti,0,0,0,0,1,0,0,4
Muertos,0,1,0,0,0,0,0,0
SugarFree,1,0,0,0,0,0,0,0
Massalam,1,0,0,0,0,0,0,0
Bunjal,1,0,0,0,0,0,0,0
Brunswick,0,0,0,1,0,0,0,0
Bitter,0,0,2,0,0,2,0,0
Annies,0,1,0,0,0,0,0,0
Murgh,5,0,0,0,0,0,0,0
Yumazuti,0,0,0,1,0,0,0,0
Ribbon,1,0,0,0,0,0,0,0
Lebanese,0,0,0,0,1,0,0,0
Chard,0,0,0,0,0,0,0,1
Taco,0,34,0,1,0,0,0,0
Je,0,0,0,0,0,0,1,0
Jackies,0,0,0,0,0,0,0,1
Tater,0,1,0,0,0,0,0,0
Chongqing,0,0,1,0,0,0,0,0
Minis,0,1,0,0,0,0,0,0
Tonkatsu,0,0,0,0,0,8,0,0
SouthwesternFlavored,0,1,0,1,0,0,0,0
Can,0,0,0,1,0,0,0,0
for,0,3,2,3,3,1,2,3
Tiramisu,0,0,0,0,0,0,0,2
Appetizers,0,0,1,0,0,0,0,1
Scallopini,0,0,0,0,0,0,0,1
MexicanAmerican,0,1,0,0,0,0,0,0
Tomatoes,1,0,0,1,7,0,0,8
Biscuits,0,0,0,3,0,0,0,0
Rolled,0,0,0,0,0,0,0,1
Buttermilk,1,0,0,6,0,0,0,0
Shells,0,1,0,0,0,0,0,5
Raisin,1,0,0,0,0,0,0,0
Sauce,12,15,19,23,7,27,25,41
Shish,0,0,0,0,1,0,0,0
Sherry,1,0,0,0,0,0,0,0
Bhindi,1,0,0,0,0,0,0,0
Fours,0,0,0,0,0,1,0,0
Elegant,0,0,0,0,0,0,0,1
Korma,8,0,0,0,0,0,0,0
Great,0,0,0,0,0,0,0,1
Madras,2,0,0,0,0,0,0,0
RestaurantStyle,0,2,2,2,0,2,0,2
Johnsonville,0,0,0,0,0,0,0,1
Spice,3,0,2,1,0,1,0,0
Throw,0,1,0,0,0,0,0,0
Maine,0,0,0,1,0,0,0,0
Seaweed,0,0,0,0,0,4,0,0
LimeCilantro,0,1,0,0,0,0,0,0
Banana,3,0,0,2,0,0,2,1
Capers,0,0,0,1,0,0,0,1
Cilantro,7,11,0,3,0,0,0,1
Marinara,0,0,0,0,2,0,0,5
Appetizer,0,0,0,1,1,0,0,2
Spare,0,0,4,0,0,1,0,0
Yuan,0,0,1,0,0,0,0,0
Frizzled,1,0,0,0,0,0,0,0
Foolproof,0,0,0,0,0,0,0,1
Noodle,0,0,8,0,0,4,9,0
Middle,0,0,0,0,1,0,0,0
PanRoasted,0,0,0,0,0,1,0,0
World,0,0,1,1,0,0,0,1
